method,all_n,all_dice,all_iou,all_bf1,blood_n,blood_dice,blood_iou,blood_bf1,specular_n,specular_dice,specular_iou,specular_bf1,blur_n,blur_dice,blur_iou,blur_bf1,hard_union_n,hard_union_dice,hard_union_iou,hard_union_bf1,clean_n,clean_dice,clean_iou,clean_bf1
ours_th68,8080,0.5611462693715636,0.40090733569369075,0.36764141484372165,625,0.5442873387341661,0.3760799129023251,0.2952987570805605,808,0.5338545370009458,0.37245904164819404,0.36368979774496857,808,0.5529435903300536,0.39268257749101876,0.3618001220183362,2056,0.5437649013777636,0.3813189214624139,0.34670255750903484,6024,0.5670785556589562,0.4075928900860388,0.37478787744002245
ours_th68_fill,8080,0.7691263896180726,0.6413537824406965,0.2692671249128272,625,0.7229658124038444,0.5749476231472399,0.23472951126683766,808,0.7902583574123935,0.6600776578009449,0.2064580378519442,808,0.784288334368674,0.6729418311431639,0.3225181253558533,2056,0.774989465003992,0.6488760671271092,0.2569345980693585,6024,0.7671253134239406,0.6387864156884946,0.2734762343401465
ours_th90_fill,8080,0.09345307048399966,0.054558610794477526,0.19832762736901205,625,0.05813878281590405,0.030180762795562702,0.13487454155117126,808,0.11223259824993563,0.0653699653156202,0.27954695512491834,808,0.11755932185413911,0.07976656666346008,0.24054849512867274,2056,0.1018646851652451,0.06283809509714175,0.22879976354857584,6024,0.09058217410540725,0.05173281070711404,0.18792744277651813
ours_th95_fill,8080,0.03179466342514387,0.017758193572958707,0.1987651952062475,625,0.016146836158082257,0.008149978750586796,0.07735413641143432,808,0.024415291390559504,0.013027831995656096,0.18875859185863098,808,0.05251001679240335,0.03693593205890859,0.3229336114471927,2056,0.03335908276639083,0.02121073391747197,0.2153418624572603,6024,0.03126072481863594,0.0165798365098247,0.1931075544578938
